"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..coder","Param..length"
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_buffer","avgt",1,100,267.066147,4.193412,"ns/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_buffer:gc.alloc.rate","avgt",1,100,6045.27061,89.855007,"MB/sec","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_buffer:gc.alloc.rate.norm","avgt",1,100,1689.560273,0.000005,"B/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_buffer:gc.count","avgt",1,100,11493,NA,"counts","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_buffer:gc.time","avgt",1,100,36268,NA,"ms","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_builder","avgt",1,100,262.564492,3.900203,"ns/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_builder:gc.alloc.rate","avgt",1,100,6146.758186,79.759695,"MB/sec","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_builder:gc.alloc.rate.norm","avgt",1,100,1689.560268,0.000004,"B/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_builder:gc.count","avgt",1,100,11675,NA,"counts","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.java_string_builder:gc.time","avgt",1,100,36742,NA,"ms","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,100,262.845237,2.779413,"ns/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,100,6159.018682,61.79746,"MB/sec","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,100,1696.000259,0.000003,"B/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,100,11720,NA,"counts","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,100,36969,NA,"ms","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder","avgt",1,100,259.185928,2.594763,"ns/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate","avgt",1,100,6221.596135,58.187943,"MB/sec","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate.norm","avgt",1,100,1689.560267,0.000004,"B/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.count","avgt",1,100,11806,NA,"counts","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_builder:gc.time","avgt",1,100,37281,NA,"ms","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat","avgt",1,100,357.951754,4.504244,"ns/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate","avgt",1,100,7618.679446,90.160515,"MB/sec","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate.norm","avgt",1,100,2856.000353,0.000004,"B/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.count","avgt",1,100,14732,NA,"counts","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.string_concat:gc.time","avgt",1,100,46411,NA,"ms","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template","avgt",1,100,261.98353,3.109391,"ns/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.alloc.rate","avgt",1,100,6180.643653,68.629443,"MB/sec","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.alloc.rate.norm","avgt",1,100,1696.000258,0.000003,"B/op","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.count","avgt",1,100,11722,NA,"counts","UTF16",128
"co.datadome.pub.scalabenchmarks.jvms.api.string.StringConcatenationBenchmark.template:gc.time","avgt",1,100,37065,NA,"ms","UTF16",128
