"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.append","avgt",1,100,9442.870826,513.073417,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.flatMap","avgt",1,100,55616.059399,2310.618399,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.foldLeft","avgt",1,100,3882.594533,366.380937,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.for_loop","avgt",1,100,2553.996681,27.882518,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.foreach","avgt",1,100,2441.589041,0.950417,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.iterate","avgt",1,100,2908.277542,182.167495,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.map","avgt",1,100,9395.082860,1003.945338,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.prepend","avgt",1,100,6049.216992,269.918426,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.read_size","avgt",1,100,0.716133,0.000074,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.reverse","avgt",1,100,7707.419543,251.487654,"ns/op",1000
