"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..size"
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.append","avgt",1,100,5243.177549,341.41414,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.flatMap","avgt",1,100,17486.449677,1044.674068,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.foldLeft","avgt",1,100,2539.007303,12.115257,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.for_loop","avgt",1,100,2684.210692,19.383548,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.foreach","avgt",1,100,2680.643033,12.476574,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.iterate","avgt",1,100,2539.855867,88.886111,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.map","avgt",1,100,7391.974571,528.405435,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.prepend","avgt",1,100,4661.31936,303.783849,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.read_size","avgt",1,100,0.716638,0.002229,"ns/op",1000
"co.datadome.pub.scalabenchmarks.jvms.api.collections.ListBufferBenchmark.reverse","avgt",1,100,7735.522768,434.459372,"ns/op",1000
